0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,
0,0,7,0,16,10,28,0,0,0,30,0,18,23,0,0,0,33,8,10,0,25,0,0,22,6,23,0,17,17,0,27,0,0,9,15,14,0,0,25,21,19,18,9,47,0,8,0,0,26,0,10,0,33,11,8,0,0,26,0,9,12,0,32,0,32,27,0,12,12,0,11,48,0,0,19,17,18,22,6,0,0,23,14,0,13,11,0,0,8,37,0,0,8,7,0,15,21,21,0,
0,0,6,0,7,8,0,8,8,0,0,37,0,9,11,0,11,20,19,9,32,11,10,0,0,34,0,10,21,12,0,12,0,12,11,7,0,0,22,21,10,13,11,26,0,0,11,12,10,0,0,14,0,22,36,20,0,0,19,59,26,25,9,0,0,24,13,0,9,11,27,39,0,14,28,13,0,11,13,8,0,8,20,13,0,10,7,9,35,27,10,10,10,0,0,10,6,0,0,14,
7,8,8,7,7,0,0,10,11,21,8,0,0,0,0,0,12,8,24,14,0,8,11,11,10,8,0,10,0,0,16,26,13,0,7,9,22,10,0,0,0,0,19,0,38,25,30,9,12,0,11,0,11,0,0,14,8,21,8,13,23,0,53,14,0,0,11,0,0,0,14,12,10,10,0,13,24,16,7,10,0,6,25,26,31,12,0,49,0,0,10,36,0,0,0,29,45,22,6,24,
0,7,17,18,20,21,8,0,0,0,21,0,10,0,0,18,17,20,29,0,0,0,0,24,0,0,11,33,23,30,0,0,8,9,28,0,11,0,0,0,0,15,9,0,30,25,22,13,15,12,0,0,16,22,13,8,0,38,0,7,8,0,19,12,0,10,11,13,40,0,12,18,0,0,5,0,30,37,0,0,13,12,12,20,12,0,0,9,8,47,8,0,19,9,20,0,36,6,0,11,
31,21,21,9,10,10,9,30,0,36,11,0,0,0,23,0,0,19,14,9,22,11,17,0,20,14,7,10,48,0,45,0,0,9,24,9,11,18,20,0,0,0,0,0,0,8,11,9,8,0,0,0,18,0,0,10,42,10,7,24,14,0,0,13,14,0,21,0,0,33,23,0,0,10,20,0,8,24,0,37,7,0,0,0,16,19,23,0,12,28,13,0,13,5,0,0,0,9,11,4,
22,0,0,20,0,10,10,18,9,11,0,31,9,12,9,9,0,0,9,40,42,24,20,0,0,41,0,0,32,21,14,35,0,11,13,26,0,18,44,0,10,0,0,21,0,11,13,0,8,11,0,14,23,0,0,0,9,0,11,9,0,0,17,15,0,0,11,0,0,0,13,9,13,18,15,12,21,10,0,0,8,9,0,0,21,39,12,0,18,9,0,7,33,8,10,0,16,11,18,0,
0,0,14,8,0,0,0,8,49,0,0,29,11,14,10,23,31,11,36,11,20,18,0,21,0,11,0,14,31,10,0,0,10,36,0,17,0,0,0,0,10,0,0,14,0,0,0,0,0,12,8,10,16,20,23,0,28,0,12,0,33,13,19,0,12,0,0,0,11,0,9,10,0,0,9,9,30,0,45,7,17,26,7,19,0,40,12,16,31,9,14,0,44,0,14,6,0,13,0,0,
0,15,0,0,8,17,16,23,0,9,10,18,23,0,11,9,8,22,0,0,24,0,8,0,16,0,8,0,0,13,0,23,14,9,45,0,11,0,8,12,0,12,0,0,25,25,0,0,11,25,0,11,0,9,0,24,9,12,22,14,18,0,9,20,0,0,16,29,36,0,29,0,8,9,10,11,0,0,0,28,33,44,0,8,9,17,17,0,0,20,14,34,9,0,17,13,0,32,0,10,
0,0,0,0,15,26,0,9,0,0,9,10,0,9,11,23,0,12,22,12,0,11,11,19,24,10,14,23,7,0,0,13,0,10,26,0,19,24,26,0,28,32,0,14,11,35,10,11,0,25,10,18,12,13,27,16,11,16,13,0,28,0,0,0,9,34,19,13,28,0,8,15,32,0,0,0,26,8,23,13,10,0,0,0,0,0,22,9,34,6,0,0,8,0,13,0,15,7,0,5,
0,7,0,17,8,10,17,0,31,11,16,9,0,33,22,0,10,0,0,10,0,30,24,0,12,19,0,9,11,0,0,14,0,16,10,0,9,9,15,0,14,29,24,10,0,34,22,0,25,0,13,0,12,10,21,0,21,15,22,20,0,0,30,14,0,10,41,8,14,11,22,41,10,7,13,0,21,0,0,0,15,10,34,34,0,9,0,0,0,0,13,10,0,0,10,0,18,8,0,11,
7,7,0,7,0,17,10,20,9,11,0,0,23,0,9,11,9,0,10,36,0,0,14,10,0,10,23,11,10,10,23,21,15,22,24,25,0,26,9,0,13,0,12,10,15,33,0,0,14,32,0,28,10,0,0,21,13,0,0,24,10,27,9,11,0,0,0,13,17,11,0,11,0,10,39,13,9,22,0,13,0,10,8,0,22,23,6,10,22,0,0,0,9,17,21,0,15,13,4,23,
7,17,0,0,18,0,10,0,0,41,19,16,51,14,16,0,0,10,9,12,0,18,36,0,0,11,12,12,0,0,0,23,14,9,0,8,0,0,35,0,9,12,13,0,34,11,13,10,9,0,0,0,25,0,0,13,23,0,0,12,9,9,0,0,14,0,12,0,12,13,0,24,28,0,11,10,16,15,20,18,10,19,23,0,0,0,17,24,24,14,14,13,9,16,14,13,12,0,0,24,
14,0,0,0,9,25,0,0,13,10,7,11,8,0,17,22,26,13,10,11,0,8,22,11,8,0,31,0,9,10,13,13,25,20,18,37,0,0,24,28,0,22,10,0,0,36,29,12,18,0,9,0,0,24,11,23,0,0,27,0,0,0,0,0,0,14,16,10,0,9,39,11,0,33,9,18,0,49,8,0,0,16,0,0,0,0,15,0,10,9,9,47,16,7,0,0,0,20,7,8,
6,16,16,0,31,10,8,7,29,10,0,0,0,0,0,11,11,9,0,8,15,0,0,12,9,11,28,13,0,10,24,0,22,0,16,10,21,12,57,16,14,0,0,15,0,0,11,0,13,0,23,8,0,19,0,0,0,20,15,24,19,25,0,0,10,14,21,27,0,0,20,0,31,0,0,0,18,0,0,11,14,0,14,0,20,12,39,24,19,14,0,18,14,23,13,0,17,12,0,0,
6,0,7,0,0,9,0,9,17,0,0,11,57,10,8,0,13,29,9,11,29,12,15,0,0,0,0,9,12,34,0,13,12,24,14,13,12,32,14,10,11,0,0,15,19,0,11,11,0,27,0,9,12,12,17,0,13,0,25,0,13,0,27,11,15,29,0,20,0,26,26,0,0,0,0,20,41,10,19,50,11,0,21,10,15,0,13,0,0,14,8,8,20,8,0,0,0,0,0,12,
